MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
LAC vs. ATL,1/8/2018,W,48,108,38,85,44.7,9,18,50,23,34,67.6,14,33,47,16,17,10,9,25,1
SAS @ SAC,1/8/2018,W,48,107,44,90,48.9,11,26,42.3,8,13,61.5,8,29,37,23,10,11,4,12,7
IND vs. MIL,1/8/2018,W,48,109,44,79,55.7,7,22,31.8,14,20,70,8,32,40,30,16,9,5,23,13
CHI vs. HOU,1/8/2018,L,48,107,40,86,46.5,12,28,42.9,15,18,83.3,3,34,37,26,13,6,5,17,-9
BKN vs. TOR,1/8/2018,L,53,113,39,100,39,12,33,36.4,23,28,82.1,11,44,55,22,16,8,2,27,-1
GSW vs. DEN,1/8/2018,W,48,124,48,85,56.5,13,30,43.3,15,21,71.4,10,33,43,33,16,7,10,15,10
MIL @ IND,1/8/2018,L,48,96,34,74,45.9,7,27,25.9,21,27,77.8,5,29,34,18,18,11,4,24,-13
TOR vs. MIA,1/9/2018,L,48,89,35,90,38.9,7,21,33.3,12,15,80,7,30,37,15,5,7,12,16,-1
POR @ OKC,1/9/2018,W,48,117,43,81,53.1,10,23,43.5,21,26,80.8,8,34,42,19,16,10,2,20,11
OKC vs. POR,1/9/2018,L,48,106,37,84,44,13,31,41.9,19,26,73.1,11,27,38,20,14,6,4,17,-11
SAC @ LAL,1/9/2018,L,48,86,30,87,34.5,8,21,38.1,18,27,66.7,10,33,43,15,16,15,4,19,-13
LAL vs. SAC,1/9/2018,W,48,99,37,77,48.1,12,35,34.3,13,21,61.9,9,46,55,30,26,12,4,23,13
ORL @ DAL,1/9/2018,L,48,99,36,79,45.6,11,29,37.9,16,22,72.7,9,32,41,27,13,2,4,23,-15
MIA @ TOR,1/9/2018,W,48,90,39,97,40.2,4,22,18.2,8,10,80,20,44,64,18,14,2,14,19,1
DAL vs. ORL,1/9/2018,W,48,114,43,83,51.8,9,26,34.6,19,22,86.4,5,33,38,27,4,6,2,22,15
MIA @ IND,1/10/2018,W,48,114,43,81,53.1,13,30,43.3,15,21,71.4,6,31,37,25,16,6,6,25,8
CHI @ NYK,1/10/2018,W,58,122,45,98,45.9,15,33,45.5,17,20,85,10,38,48,21,17,10,5,19,3
DEN vs. ATL,1/10/2018,L,48,97,38,95,40,9,37,24.3,12,20,60,14,26,40,27,12,13,6,18,-13
NYK vs. CHI,1/10/2018,L,58,119,48,96,50,10,22,45.5,13,21,61.9,11,40,51,24,18,5,9,20,-3
UTA @ WAS,1/10/2018,W,48,107,43,92,46.7,11,33,33.3,10,13,76.9,11,28,39,23,13,15,3,17,3
CHA vs. DAL,1/10/2018,L,48,111,43,84,51.2,10,26,38.5,15,30,50,4,39,43,16,11,6,5,22,-4
MIL vs. ORL,1/10/2018,W,48,110,45,82,54.9,4,19,21.1,16,25,64,11,36,47,20,17,4,9,21,7
GSW vs. LAC,1/10/2018,L,48,106,38,79,48.1,8,23,34.8,22,26,84.6,4,29,33,26,16,9,6,21,-19
BKN vs. DET,1/10/2018,L,48,80,27,74,36.5,12,37,32.4,14,15,93.3,2,33,35,19,20,11,2,11,-34
HOU vs. POR,1/10/2018,W,48,121,45,100,45,12,38,31.6,19,25,76,17,32,49,25,13,7,5,30,9
IND vs. MIA,1/10/2018,L,48,106,43,87,49.4,1,18,5.6,19,29,65.5,12,33,45,13,14,7,3,23,-8
POR @ HOU,1/10/2018,L,48,112,40,83,48.2,9,26,34.6,23,32,71.9,6,34,40,21,14,5,6,26,-9
DAL @ CHA,1/10/2018,W,48,115,39,83,47,15,36,41.7,22,28,78.6,3,36,39,23,8,7,7,22,4
ORL @ MIL,1/10/2018,L,48,103,39,90,43.3,8,29,27.6,17,18,94.4,8,26,34,26,10,6,4,21,-7
DET @ BKN,1/10/2018,W,48,114,48,93,51.6,10,21,47.6,8,12,66.7,11,43,54,24,13,10,4,14,34
ATL @ DEN,1/10/2018,W,48,110,40,80,50,12,27,44.4,18,18,100,6,38,44,25,16,6,4,23,13
NOP @ MEM,1/10/2018,L,48,102,34,77,44.2,11,35,31.4,23,34,67.6,9,31,40,20,12,5,7,26,-3
WAS vs. UTA,1/10/2018,L,48,104,41,78,52.6,10,25,40,12,17,70.6,9,36,45,25,23,8,1,17,-3
LAC @ GSW,1/10/2018,W,48,125,46,94,48.9,11,24,45.8,22,28,78.6,11,35,46,24,14,9,3,19,19
OKC @ MIN,1/10/2018,L,48,88,32,80,40,6,25,24,18,24,75,10,31,41,13,19,9,2,22,-16
MEM vs. NOP,1/10/2018,W,48,105,37,88,42,5,19,26.3,26,32,81.3,14,36,50,21,10,7,5,26,3
MIN vs. OKC,1/10/2018,W,48,104,39,80,48.8,7,20,35,19,27,70.4,11,34,45,22,16,11,5,22,16
SAC vs. LAC,1/11/2018,L,48,115,42,85,49.4,8,26,30.8,23,28,82.1,10,34,44,23,16,9,3,25,-6
CLE @ TOR,1/11/2018,L,48,99,34,89,38.2,6,26,23.1,25,30,83.3,9,26,35,18,10,3,4,16,-34
BOS @ PHI,1/11/2018,W,48,114,43,89,48.3,13,35,37.1,15,19,78.9,11,35,46,24,18,11,2,18,11
SAS @ LAL,1/11/2018,L,48,81,31,76,40.8,8,20,40,11,15,73.3,7,38,45,21,21,6,5,15,-12
LAL vs. SAS,1/11/2018,W,48,93,36,87,41.4,13,38,34.2,8,14,57.1,12,35,47,22,16,15,4,17,12
TOR vs. CLE,1/11/2018,W,48,133,53,106,50,18,42,42.9,9,13,69.2,18,45,63,31,9,3,7,25,34
LAC @ SAC,1/11/2018,W,48,121,43,84,51.2,13,31,41.9,22,30,73.3,8,31,39,28,18,9,5,19,6
PHI vs. BOS,1/11/2018,L,48,103,38,82,46.3,11,28,39.3,16,18,88.9,3,34,37,20,19,12,4,19,-11
POR @ NOP,1/12/2018,L,48,113,45,101,44.6,12,42,28.6,11,14,78.6,14,25,39,24,11,13,6,22,-6
MEM @ DEN,1/12/2018,L,48,78,30,77,39,7,24,29.2,11,14,78.6,8,28,36,17,15,8,5,28,-9
ORL @ WAS,1/12/2018,L,48,119,41,80,51.3,12,29,41.4,25,31,80.6,12,28,40,32,16,7,3,21,-6
CLE @ IND,1/12/2018,L,48,95,37,85,43.5,7,34,20.6,14,19,73.7,9,37,46,19,12,12,5,15,-2
CHA vs. UTA,1/12/2018,W,48,99,32,78,41,9,27,33.3,26,34,76.5,8,38,46,17,13,8,2,19,11
WAS vs. ORL,1/12/2018,W,48,125,54,95,56.8,4,16,25,13,19,68.4,14,27,41,26,12,9,6,22,6
NOP vs. POR,1/12/2018,W,48,119,45,82,54.9,7,19,36.8,22,23,95.7,9,34,43,26,18,7,6,16,6
ATL vs. BKN,1/12/2018,L,48,105,37,80,46.3,11,28,39.3,20,26,76.9,8,38,46,21,18,6,3,25,-5
DEN vs. MEM,1/12/2018,W,48,87,27,70,38.6,7,22,31.8,26,32,81.3,12,35,47,15,15,8,3,18,9
MIN vs. NYK,1/12/2018,W,48,118,49,95,51.6,10,27,37,10,16,62.5,16,27,43,33,12,12,4,12,10
PHX vs. HOU,1/12/2018,L,48,95,37,80,46.3,14,33,42.4,7,9,77.8,4,34,38,27,19,5,3,19,-17
IND vs. CLE,1/12/2018,W,48,97,39,85,45.9,10,21,47.6,9,12,75,6,38,44,16,14,5,4,18,2
UTA @ CHA,1/12/2018,L,48,88,28,77,36.4,12,35,34.3,20,23,87,8,37,45,19,15,5,8,26,-11
BKN @ ATL,1/12/2018,W,48,110,40,87,46,13,34,38.2,17,26,65.4,13,30,43,29,15,8,1,24,5
MIL vs. GSW,1/12/2018,L,48,94,36,85,42.4,11,28,39.3,11,12,91.7,8,25,33,21,12,9,6,20,-14
NYK @ MIN,1/12/2018,L,48,108,45,83,54.2,12,24,50,6,9,66.7,9,27,36,25,16,6,6,17,-10
GSW @ MIL,1/12/2018,W,48,108,44,79,55.7,5,15,33.3,15,18,83.3,10,33,43,28,11,7,3,13,14
HOU @ PHX,1/12/2018,W,48,112,39,94,41.5,15,47,31.9,19,22,86.4,14,39,53,18,11,11,4,14,17
DEN @ SAS,1/13/2018,L,48,80,29,83,34.9,7,28,25,15,17,88.2,11,30,41,18,17,9,4,16,-32
TOR vs. GSW,1/13/2018,L,48,125,45,93,48.4,8,25,32,27,32,84.4,14,30,44,22,10,3,2,23,-2
DET @ CHI,1/13/2018,L,48,105,41,92,44.6,12,29,41.4,11,14,78.6,13,32,45,28,14,8,7,11,-2
SAC @ LAC,1/13/2018,L,48,105,43,85,50.6,6,17,35.3,13,22,59.1,10,27,37,26,16,12,4,24,-21
SAS vs. DEN,1/13/2018,W,48,112,41,79,51.9,14,27,51.9,16,18,88.9,6,37,43,23,15,9,3,17,32
OKC @ CHA,1/13/2018,W,48,101,39,97,40.2,8,26,30.8,15,20,75,19,38,57,17,9,8,9,22,10
DAL vs. LAL,1/13/2018,L,53,101,34,90,37.8,11,43,25.6,22,28,78.6,4,35,39,20,9,5,1,17,-6
BKN @ WAS,1/13/2018,L,53,113,42,99,42.4,12,43,27.9,17,20,85,13,34,47,28,16,6,3,22,-6
CHA vs. OKC,1/13/2018,L,48,91,33,83,39.8,9,28,32.1,16,23,69.6,9,41,50,16,15,3,7,15,-10
WAS vs. BKN,1/13/2018,W,53,119,46,93,49.5,10,23,43.5,17,23,73.9,6,41,47,31,15,10,3,19,6
GSW @ TOR,1/13/2018,W,48,127,47,81,58,9,24,37.5,24,28,85.7,3,27,30,28,7,4,3,20,2
CHI vs. DET,1/13/2018,W,48,107,42,87,48.3,17,36,47.2,6,9,66.7,6,34,40,27,15,10,8,11,2
LAC vs. SAC,1/13/2018,W,48,126,46,82,56.1,12,31,38.7,22,26,84.6,5,34,39,29,16,11,5,22,21
LAL @ DAL,1/13/2018,W,53,107,43,95,45.3,8,26,30.8,13,18,72.2,11,48,59,24,15,4,0,31,6
NOP @ NYK,1/14/2018,W,53,123,45,95,47.4,9,32,28.1,24,34,70.6,12,34,46,19,19,17,7,17,5
IND @ PHX,1/14/2018,W,48,120,48,88,54.5,11,23,47.8,13,14,92.9,8,34,42,20,6,9,1,22,23
PHX vs. IND,1/14/2018,L,48,97,35,85,41.2,9,37,24.3,18,24,75,14,31,45,20,13,2,1,16,-23
MIL @ MIA,1/14/2018,L,48,79,25,79,31.6,4,28,14.3,25,27,92.6,8,32,40,9,15,8,1,23,-18
MIA vs. MIL,1/14/2018,W,48,97,35,76,46.1,11,29,37.9,16,20,80,3,46,49,23,15,8,8,18,18
NYK vs. NOP,1/14/2018,L,53,118,46,97,47.4,12,34,35.3,14,18,77.8,10,34,44,28,24,12,7,27,-5
MIN vs. POR,1/14/2018,W,48,120,43,80,53.8,7,19,36.8,27,33,81.8,7,31,38,21,11,12,3,17,17
POR @ MIN,1/14/2018,L,48,103,39,79,49.4,11,25,44,14,17,82.4,8,30,38,19,18,6,3,27,-17
OKC vs. SAC,1/15/2018,W,48,95,36,86,41.9,9,30,30,14,29,48.3,18,41,59,20,20,10,6,19,7
MEM vs. LAL,1/15/2018,W,48,123,42,82,51.2,10,22,45.5,29,34,85.3,6,42,48,24,19,8,8,26,9
LAC vs. HOU,1/15/2018,W,48,113,44,79,55.7,10,25,40,15,20,75,4,37,41,30,19,6,10,17,11
WAS vs. MIL,1/15/2018,L,48,95,32,76,42.1,6,21,28.6,25,31,80.6,11,28,39,19,24,10,8,22,-9
GSW @ CLE,1/15/2018,W,48,118,41,85,48.2,12,32,37.5,24,30,80,13,35,48,33,17,8,6,23,10
PHI vs. TOR,1/15/2018,W,48,117,40,81,49.4,6,25,24,31,38,81.6,10,38,48,22,22,8,9,28,6
SAS @ ATL,1/15/2018,L,48,99,37,87,42.5,8,22,36.4,17,20,85,8,29,37,24,9,12,5,13,-3
IND @ UTA,1/15/2018,W,48,109,41,77,53.2,14,26,53.8,13,15,86.7,8,35,43,26,14,7,2,18,15
CHA @ DET,1/15/2018,W,48,118,43,84,51.2,10,21,47.6,22,33,66.7,9,40,49,21,15,9,4,11,11
LAL @ MEM,1/15/2018,L,48,114,38,96,39.6,12,35,34.3,26,31,83.9,12,32,44,25,14,11,8,23,-9
HOU @ LAC,1/15/2018,L,48,102,38,94,40.4,13,44,29.5,13,16,81.3,13,24,37,21,14,9,4,21,-11
CLE vs. GSW,1/15/2018,L,48,108,43,94,45.7,7,28,25,15,22,68.2,12,31,43,26,15,9,5,22,-10
DET vs. CHA,1/15/2018,L,48,107,42,86,48.8,15,29,51.7,8,11,72.7,3,35,38,27,16,10,5,24,-11
NYK @ BKN,1/15/2018,W,48,119,42,82,51.2,9,16,56.3,26,37,70.3,8,43,51,27,9,5,10,24,15
MIA @ CHI,1/15/2018,L,48,111,40,84,47.6,12,36,33.3,19,24,79.2,4,36,40,35,14,5,4,19,-8
TOR @ PHI,1/15/2018,L,48,111,38,95,40,9,32,28.1,26,30,86.7,12,32,44,20,15,8,1,31,-6
CHI vs. MIA,1/15/2018,W,48,119,42,88,47.7,16,39,41,19,22,86.4,7,38,45,27,10,6,2,23,8
UTA vs. IND,1/15/2018,L,48,94,36,81,44.4,9,33,27.3,13,17,76.5,9,29,38,11,13,11,7,12,-15
ATL vs. SAS,1/15/2018,W,48,102,40,86,46.5,9,25,36,13,14,92.9,11,39,50,23,15,8,2,23,3
BKN vs. NYK,1/15/2018,L,48,104,32,87,36.8,11,32,34.4,29,36,80.6,11,34,45,16,11,5,3,23,-15
MIL @ WAS,1/15/2018,W,48,104,38,81,46.9,8,16,50,20,29,69,15,29,44,21,19,14,6,25,9
SAC @ OKC,1/15/2018,L,48,88,33,84,39.3,7,30,23.3,15,25,60,6,31,37,22,14,13,0,28,-7
NOP @ BOS,1/16/2018,W,53,116,45,100,45,7,27,25.9,19,25,76,13,42,55,28,15,11,6,14,3
ORL vs. MIN,1/16/2018,W,48,108,40,90,44.4,11,31,35.5,17,19,89.5,15,36,51,24,18,4,10,15,6
MIN @ ORL,1/16/2018,L,48,102,43,98,43.9,7,16,43.8,9,10,90,11,26,37,19,8,10,9,21,-6
DEN vs. DAL,1/16/2018,W,48,105,40,86,46.5,8,26,30.8,17,26,65.4,15,32,47,23,19,10,3,23,3
BOS vs. NOP,1/16/2018,L,53,113,40,101,39.6,19,50,38,14,16,87.5,12,41,53,27,19,7,3,24,-3
DAL @ DEN,1/16/2018,L,48,102,38,78,48.7,8,27,29.6,18,22,81.8,5,30,35,17,16,10,3,24,-3
POR vs. PHX,1/16/2018,W,48,118,46,91,50.5,17,35,48.6,9,10,90,9,34,43,21,10,7,6,16,7
PHX @ POR,1/16/2018,L,48,111,37,89,41.6,16,41,39,21,22,95.5,12,31,43,21,13,6,3,15,-7
MEM vs. NYK,1/17/2018,W,48,105,41,91,45.1,10,28,35.7,13,17,76.5,15,29,44,23,12,9,3,19,6
SAC vs. UTA,1/17/2018,L,48,105,38,72,52.8,13,21,61.9,16,20,80,8,28,36,19,19,9,4,21,-15
BKN vs. SAS,1/17/2018,L,48,95,35,83,42.2,13,36,36.1,12,18,66.7,6,41,47,23,14,3,1,28,-5
LAC vs. DEN,1/17/2018,W,48,109,40,87,46,10,30,33.3,19,31,61.3,17,31,48,22,20,10,5,16,5
MIA @ MIL,1/17/2018,W,48,106,38,82,46.3,10,24,41.7,20,27,74.1,10,36,46,28,15,4,7,28,5
ATL vs. NOP,1/17/2018,W,48,94,37,89,41.6,10,40,25,10,13,76.9,12,31,43,32,11,5,3,22,1
GSW @ CHI,1/17/2018,W,48,119,42,84,50,13,33,39.4,22,25,88,5,44,49,24,15,5,3,16,7
TOR vs. DET,1/17/2018,W,48,96,34,80,42.5,11,31,35.5,17,23,73.9,12,37,49,24,21,6,8,20,5
CHA vs. WAS,1/17/2018,W,48,133,48,98,49,15,31,48.4,22,26,84.6,13,36,49,27,10,10,5,18,24
WAS @ CHA,1/17/2018,L,48,109,40,82,48.8,13,23,56.5,16,23,69.6,7,33,40,31,16,3,7,23,-24
OKC vs. LAL,1/17/2018,W,48,114,46,95,48.4,12,35,34.3,10,12,83.3,21,33,54,22,17,10,6,14,24
LAL @ OKC,1/17/2018,L,48,90,38,81,46.9,10,26,38.5,4,4,100,6,24,30,25,18,9,1,15,-24
SAS @ BKN,1/17/2018,W,48,100,34,82,41.5,9,19,47.4,23,31,74.2,7,35,42,24,9,8,4,20,5
NYK @ MEM,1/17/2018,L,48,99,35,82,42.7,7,27,25.9,22,23,95.7,12,33,45,22,14,5,12,15,-6
NOP @ ATL,1/17/2018,L,48,93,35,80,43.8,10,27,37,13,19,68.4,9,34,43,27,14,5,6,20,-1
DEN @ LAC,1/17/2018,L,48,104,42,97,43.3,5,25,20,15,18,83.3,20,34,54,23,21,13,7,25,-5
DET @ TOR,1/17/2018,L,48,91,37,88,42,10,28,35.7,7,15,46.7,11,31,42,22,15,14,7,20,-5
CHI vs. GSW,1/17/2018,L,48,112,45,106,42.5,10,39,25.6,12,13,92.3,14,35,49,24,11,10,2,19,-7
UTA @ SAC,1/17/2018,W,48,120,46,81,56.8,12,29,41.4,16,20,80,6,23,29,26,10,15,4,20,15
MIL vs. MIA,1/17/2018,L,48,101,33,76,43.4,11,28,39.3,24,32,75,5,33,38,23,10,6,4,25,-5
HOU vs. MIN,1/18/2018,W,48,116,42,88,47.7,17,39,43.6,15,17,88.2,11,34,45,24,10,11,5,15,18
POR vs. IND,1/18/2018,W,48,100,37,94,39.4,10,32,31.3,16,16,100,14,43,57,17,11,6,7,11,14
PHI @ BOS,1/18/2018,W,48,89,34,73,46.6,6,17,35.3,15,17,88.2,8,33,41,18,25,10,5,20,9
MIN @ HOU,1/18/2018,L,48,98,38,81,46.9,8,24,33.3,14,21,66.7,8,32,40,24,11,8,8,16,-18
IND @ POR,1/18/2018,L,48,86,36,91,39.6,7,26,26.9,7,13,53.8,10,36,46,17,8,4,4,16,-14
ORL @ CLE,1/18/2018,L,48,103,41,88,46.6,5,22,22.7,16,21,76.2,9,33,42,25,15,12,6,22,-1
BOS vs. PHI,1/18/2018,L,48,80,30,74,40.5,7,29,24.1,13,17,76.5,3,28,31,13,19,7,5,20,-9
CLE vs. ORL,1/18/2018,W,48,104,38,85,44.7,10,34,29.4,18,27,66.7,14,32,46,22,20,8,4,21,1
SAS @ TOR,1/19/2018,L,48,83,31,91,34.1,5,20,25,16,20,80,17,39,56,18,12,9,7,13,-3
SAC @ MEM,1/19/2018,L,48,88,32,80,40,11,27,40.7,13,18,72.2,11,33,44,18,21,10,3,20,-18
DET vs. WAS,1/19/2018,L,48,112,40,80,50,10,30,33.3,22,26,84.6,7,28,35,25,14,8,3,22,-10
PHX @ DEN,1/19/2018,W,48,108,40,81,49.4,14,33,42.4,14,20,70,4,33,37,28,12,9,6,21,8
TOR vs. SAS,1/19/2018,W,48,86,34,85,40,9,26,34.6,9,14,64.3,9,41,50,16,14,8,1,19,3
DEN vs. PHX,1/19/2018,L,48,100,35,78,44.9,14,36,38.9,16,21,76.2,7,35,42,23,16,7,5,20,-8
UTA vs. NYK,1/19/2018,L,48,115,42,91,46.2,11,31,35.5,20,30,66.7,15,37,52,19,17,4,6,20,-2
WAS @ DET,1/19/2018,W,48,122,41,82,50,16,35,45.7,24,27,88.9,8,26,34,28,13,10,4,20,10
NYK @ UTA,1/19/2018,W,48,117,44,89,49.4,11,20,55,18,23,78.3,7,29,36,23,12,6,6,26,2
LAL vs. IND,1/19/2018,W,48,99,44,80,55,9,28,32.1,2,14,14.3,6,41,47,26,15,7,6,17,13
MEM vs. SAC,1/19/2018,W,48,106,39,88,44.3,10,34,29.4,18,23,78.3,14,35,49,24,13,12,5,17,18
MIA @ BKN,1/19/2018,L,48,95,35,84,41.7,7,22,31.8,18,25,72,12,31,43,22,13,7,7,22,-6
BKN vs. MIA,1/19/2018,W,48,101,36,76,47.4,9,32,28.1,20,26,76.9,10,34,44,20,14,5,8,18,6
IND @ LAL,1/19/2018,L,48,86,37,97,38.1,2,25,8,10,13,76.9,12,32,44,15,9,9,4,18,-13
DAL @ POR,1/20/2018,L,48,108,38,83,45.8,10,25,40,22,28,78.6,11,26,37,19,9,9,5,21,-9
TOR @ MIN,1/20/2018,L,48,109,39,83,47,12,33,36.4,19,21,90.5,8,27,35,23,15,7,7,30,-6
CHI @ ATL,1/20/2018,W,48,113,40,80,50,14,32,43.8,19,21,90.5,4,44,48,31,16,8,1,23,16
ATL vs. CHI,1/20/2018,L,48,97,35,92,38,11,48,22.9,16,23,69.6,9,36,45,27,14,5,4,21,-16
HOU vs. GSW,1/20/2018,W,48,116,41,87,47.1,14,37,37.8,20,29,69,12,34,46,19,16,14,3,18,8
PHI vs. MIL,1/20/2018,W,48,116,45,85,52.9,10,25,40,16,19,84.2,11,34,45,32,18,9,4,18,22
CHA vs. MIA,1/20/2018,L,48,105,41,90,45.6,7,27,25.9,16,21,76.2,8,35,43,22,8,9,8,12,-1
MEM @ NOP,1/20/2018,L,48,104,37,82,45.1,15,35,42.9,15,16,93.8,10,34,44,22,14,2,1,29,-7
LAC @ UTA,1/20/2018,L,48,113,36,82,43.9,11,36,30.6,30,38,78.9,7,27,34,18,14,17,2,24,-12
GSW @ HOU,1/20/2018,L,48,108,40,82,48.8,17,36,47.2,11,15,73.3,4,29,33,31,19,8,10,24,-8
MIA @ CHA,1/20/2018,W,48,106,43,87,49.4,13,28,46.4,7,12,58.3,8,39,47,28,14,5,6,17,1
NOP vs. MEM,1/20/2018,W,48,111,39,78,50,7,27,25.9,26,32,81.3,6,35,41,23,11,6,5,15,7
POR vs. DAL,1/20/2018,W,48,117,45,86,52.3,18,36,50,9,10,90,9,31,40,19,14,3,3,23,9
OKC @ CLE,1/20/2018,W,48,148,58,100,58,14,30,46.7,18,28,64.3,16,36,52,37,14,9,2,23,24
MIN vs. TOR,1/20/2018,W,48,115,38,81,46.9,7,16,43.8,32,42,76.2,15,29,44,21,11,4,3,20,6
CLE vs. OKC,1/20/2018,L,48,124,46,89,51.7,10,37,27,22,27,81.5,3,25,28,32,15,7,4,18,-24
MIL @ PHI,1/20/2018,L,48,94,33,82,40.2,10,32,31.3,18,22,81.8,8,27,35,20,18,10,3,20,-22
UTA vs. LAC,1/20/2018,W,48,125,45,82,54.9,11,28,39.3,24,32,75,11,45,56,21,21,9,3,29,12
LAL vs. NYK,1/21/2018,W,48,127,51,91,56,10,26,38.5,15,21,71.4,12,27,39,31,6,10,3,18,20
BOS vs. ORL,1/21/2018,L,48,95,37,85,43.5,8,27,29.6,13,14,92.9,11,33,44,22,15,6,9,18,-8
BKN @ DET,1/21/2018,W,48,101,37,80,46.3,13,31,41.9,14,20,70,7,39,46,23,15,1,3,18,1
NYK @ LAL,1/21/2018,L,48,107,44,81,54.3,12,25,48,7,10,70,7,26,33,32,17,3,5,20,-20
SAS vs. IND,1/21/2018,L,48,86,35,82,42.7,9,34,26.5,7,12,58.3,10,36,46,24,20,8,10,14,-8
ORL @ BOS,1/21/2018,W,48,103,43,92,46.7,6,21,28.6,11,16,68.8,13,31,44,20,10,7,9,19,8
IND @ SAS,1/21/2018,W,48,94,37,84,44,4,19,21.1,16,17,94.1,7,34,41,14,10,14,1,15,8
DET vs. BKN,1/21/2018,L,48,100,38,90,42.2,9,29,31,15,17,88.2,7,36,43,21,7,3,4,19,-1
ATL vs. UTA,1/22/2018,W,48,104,40,83,48.2,12,26,46.2,12,12,100,10,34,44,24,18,8,5,24,14
HOU vs. MIA,1/22/2018,W,48,99,36,81,44.4,15,37,40.5,12,18,66.7,8,30,38,20,14,10,3,15,9
WAS @ DAL,1/22/2018,L,48,75,26,86,30.2,7,32,21.9,16,27,59.3,17,30,47,15,12,7,5,18,-23
NOP vs. CHI,1/22/2018,W,58,132,47,113,41.6,16,44,36.4,22,26,84.6,15,40,55,32,13,14,3,28,4
POR @ DEN,1/22/2018,L,48,101,36,85,42.4,8,25,32,21,26,80.8,11,33,44,19,12,11,6,22,-3
PHI @ MEM,1/22/2018,L,48,101,32,71,45.1,14,31,45.2,23,31,74.2,16,32,48,21,24,2,4,28,-4
MIA @ HOU,1/22/2018,L,48,90,39,82,47.6,7,30,23.3,5,9,55.6,9,33,42,18,18,7,4,18,-9
MIN @ LAC,1/22/2018,W,48,126,43,91,47.3,7,22,31.8,33,39,84.6,18,29,47,20,15,5,4,22,8
CHA vs. SAC,1/22/2018,W,48,112,38,86,44.2,16,40,40,20,25,80,11,37,48,22,17,4,10,14,5
UTA @ ATL,1/22/2018,L,48,90,33,76,43.4,4,15,26.7,20,28,71.4,7,32,39,20,17,8,6,15,-14
DEN vs. POR,1/22/2018,W,48,104,34,83,41,10,30,33.3,26,33,78.8,14,35,49,23,15,7,8,20,3
LAC vs. MIN,1/22/2018,L,48,118,47,84,56,9,27,33.3,15,22,68.2,8,32,40,31,17,4,1,27,-8
DAL vs. WAS,1/22/2018,W,48,98,38,87,43.7,10,31,32.3,12,17,70.6,9,43,52,20,11,9,9,21,23
PHX @ MIL,1/22/2018,L,48,105,39,79,49.4,9,26,34.6,18,20,90,9,25,34,31,22,12,2,26,-4
SAC @ CHA,1/22/2018,L,48,107,43,97,44.3,10,22,45.5,11,15,73.3,10,32,42,27,9,8,3,22,-5
MEM vs. PHI,1/22/2018,W,48,105,33,78,42.3,10,26,38.5,29,35,82.9,11,21,32,14,12,14,2,26,4
CHI @ NOP,1/22/2018,L,58,128,45,92,48.9,8,31,25.8,30,34,88.2,6,48,54,31,24,8,6,32,-4
MIL vs. PHX,1/22/2018,W,48,109,38,71,53.5,5,17,29.4,28,37,75.7,8,24,32,20,18,14,5,22,4
NYK @ GSW,1/23/2018,L,48,112,43,83,51.8,9,22,40.9,17,19,89.5,6,32,38,28,14,4,0,20,-11
OKC vs. BKN,1/23/2018,W,48,109,40,94,42.6,7,25,28,22,32,68.8,16,34,50,12,4,7,4,18,1
LAL vs. BOS,1/23/2018,W,48,108,40,91,44,7,26,26.9,21,36,58.3,14,37,51,18,10,6,2,16,1
CLE @ SAS,1/23/2018,L,48,102,35,72,48.6,6,21,28.6,26,31,83.9,6,35,41,19,18,6,3,14,-12
SAS vs. CLE,1/23/2018,W,48,114,47,94,50,8,28,28.6,12,16,75,13,32,45,23,10,11,4,19,12
GSW vs. NYK,1/23/2018,W,48,123,46,83,55.4,13,30,43.3,18,20,90,3,33,36,40,12,6,3,16,11
SAC @ ORL,1/23/2018,W,48,105,43,87,49.4,8,26,30.8,11,13,84.6,11,33,44,24,14,9,11,15,6
BKN @ OKC,1/23/2018,L,48,108,37,79,46.8,16,38,42.1,18,25,72,8,37,45,27,14,1,5,25,-1
BOS @ LAL,1/23/2018,L,48,107,42,90,46.7,15,44,34.1,8,10,80,7,35,42,22,11,3,5,25,-1
ORL vs. SAC,1/23/2018,L,48,99,36,83,43.4,11,31,35.5,16,19,84.2,11,29,40,23,17,9,4,17,-6
DAL vs. HOU,1/24/2018,L,48,97,35,82,42.7,15,35,42.9,12,18,66.7,9,40,49,24,14,5,2,21,-7
NOP @ CHA,1/24/2018,W,48,101,39,87,44.8,9,26,34.6,14,18,77.8,8,34,42,26,16,6,10,19,5
PHX @ IND,1/24/2018,L,48,101,35,84,41.7,9,35,25.7,22,29,75.9,10,32,42,22,16,3,2,26,-15
SAS @ MEM,1/24/2018,W,48,108,38,82,46.3,10,24,41.7,22,25,88,11,34,45,29,14,9,6,19,23
TOR @ ATL,1/24/2018,W,48,108,39,89,43.8,14,36,38.9,16,25,64,12,40,52,25,17,10,12,22,15
CHI @ PHI,1/24/2018,L,48,101,36,94,38.3,11,37,29.7,18,22,81.8,10,33,43,20,11,8,2,15,-14
UTA @ DET,1/24/2018,W,53,98,38,96,39.6,10,31,32.3,12,16,75,9,35,44,24,15,11,9,15,3
