MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
CHA @ MIN,11/5/2017,L,48,94,37,89,41.6,9,28,32.1,11,21,52.4,10,30,40,24,11,8,3,24,-18
LAL vs. MEM,11/5/2017,W,48,107,40,85,47.1,9,27,33.3,18,23,78.3,8,38,46,25,19,5,4,16,5
PHX @ SAS,11/5/2017,L,48,95,37,81,45.7,8,23,34.8,13,22,59.1,11,34,45,23,18,5,4,16,-17
WAS @ TOR,11/5/2017,W,48,107,40,85,47.1,11,23,47.8,16,23,69.6,11,35,46,19,17,9,3,26,11
IND @ NYK,11/5/2017,L,48,101,37,79,46.8,12,25,48,15,17,88.2,4,30,34,24,12,6,2,17,-7
BOS @ ORL,11/5/2017,W,48,104,39,89,43.8,11,33,33.3,15,20,75,9,45,54,26,14,10,1,21,16
ATL @ CLE,11/5/2017,W,48,117,41,86,47.7,11,25,44,24,34,70.6,11,33,44,24,17,4,6,20,2
MEM @ LAL,11/5/2017,L,48,102,40,87,46,11,37,29.7,11,14,78.6,6,33,39,23,12,6,7,22,-5
MIN vs. CHA,11/5/2017,W,48,112,38,83,45.8,10,24,41.7,26,30,86.7,12,42,54,20,16,4,4,19,18
LAC vs. MIA,11/5/2017,L,48,101,34,87,39.1,9,31,29,24,30,80,18,32,50,16,16,11,4,22,-3
TOR vs. WAS,11/5/2017,L,48,96,37,80,46.3,5,24,20.8,17,27,63,9,27,36,17,13,7,8,24,-11
ORL vs. BOS,11/5/2017,L,48,88,33,91,36.3,6,29,20.7,16,18,88.9,10,35,45,18,13,4,4,19,-16
GSW vs. MIA,11/6/2017,W,48,97,32,87,36.8,11,32,34.4,22,24,91.7,13,38,51,20,15,12,10,21,17
PHX vs. BKN,11/6/2017,L,48,92,30,86,34.9,6,25,24,26,35,74.3,14,38,52,13,17,8,7,29,-6
MIA @ GSW,11/6/2017,L,48,80,30,83,36.1,8,26,30.8,12,17,70.6,7,37,44,19,23,10,6,20,-17
BKN @ PHX,11/6/2017,W,48,98,35,87,40.2,8,32,25,20,29,69,11,37,48,20,16,10,4,30,6
BOS @ ATL,11/6/2017,W,48,110,39,81,48.1,14,36,38.9,18,22,81.8,7,35,42,28,14,3,3,21,3
ATL vs. BOS,11/6/2017,L,48,107,39,81,48.1,13,26,50,16,20,80,5,31,36,24,14,8,4,22,-3
MIL @ CLE,11/7/2017,L,48,119,47,83,56.6,13,30,43.3,12,16,75,8,28,36,29,16,6,8,31,-5
CHI @ TOR,11/7/2017,L,48,114,40,80,50,11,29,37.9,23,28,82.1,8,29,37,26,15,10,2,23,-5
CLE vs. MIL,11/7/2017,W,48,124,41,82,50,9,18,50,33,38,86.8,12,27,39,18,13,7,4,16,5
NOP @ IND,11/7/2017,W,48,117,44,87,50.6,14,35,40,15,22,68.2,11,32,43,23,13,6,5,18,5
DEN vs. BKN,11/7/2017,W,48,112,44,93,47.3,9,34,26.5,15,20,75,9,38,47,26,19,16,9,21,8
IND vs. NOP,11/7/2017,L,48,112,44,93,47.3,9,24,37.5,15,18,83.3,11,30,41,19,11,4,4,21,-5
UTA vs. PHI,11/7/2017,L,48,97,30,99,30.3,9,39,23.1,28,35,80,14,31,45,15,12,14,6,23,-7
SAS vs. LAC,11/7/2017,W,48,120,45,84,53.6,15,28,53.6,15,19,78.9,11,28,39,33,13,13,3,21,13
DAL @ WAS,11/7/2017,W,48,113,43,91,47.3,11,30,36.7,16,20,80,11,42,53,26,12,6,8,23,14
PHI @ UTA,11/7/2017,W,48,104,34,81,42,12,27,44.4,24,30,80,8,48,56,23,22,5,6,34,7
WAS vs. DAL,11/7/2017,L,48,99,32,75,42.7,10,25,40,25,32,78.1,3,36,39,21,15,5,5,19,-14
MEM @ POR,11/7/2017,W,48,98,35,73,47.9,7,19,36.8,21,25,84,5,29,34,18,15,8,10,21,1
OKC @ SAC,11/7/2017,L,48,86,29,86,33.7,10,37,27,18,23,78.3,9,35,44,15,17,16,2,17,-8
SAC vs. OKC,11/7/2017,W,48,94,37,79,46.8,9,24,37.5,11,12,91.7,5,42,47,21,23,6,5,24,8
POR vs. MEM,11/7/2017,L,48,97,36,81,44.4,6,19,31.6,19,20,95,10,32,42,11,16,9,1,18,-1
LAC @ SAS,11/7/2017,L,48,107,42,82,51.2,11,30,36.7,12,17,70.6,10,29,39,20,18,6,4,19,-13
TOR vs. CHI,11/7/2017,W,48,119,44,81,54.3,13,25,52,18,24,75,7,30,37,22,16,5,0,22,5
BKN @ DEN,11/7/2017,L,48,104,38,89,42.7,11,35,31.4,17,22,77.3,8,39,47,22,25,12,6,16,-8
CHA @ NYK,11/7/2017,L,48,113,42,91,46.2,15,37,40.5,14,17,82.4,17,23,40,24,13,8,2,22,-5
NYK vs. CHA,11/7/2017,W,48,118,45,75,60,12,25,48,16,21,76.2,6,29,35,29,16,5,5,19,5
MIA @ PHX,11/8/2017,W,48,126,43,81,53.1,12,30,40,28,35,80,11,42,53,21,15,5,4,25,11
PHX vs. MIA,11/8/2017,L,48,115,40,88,45.5,12,29,41.4,23,30,76.7,6,28,34,20,11,4,2,29,-11
DET vs. IND,11/8/2017,W,48,114,43,83,51.8,12,27,44.4,16,25,64,8,42,50,25,18,3,5,22,17
MIN @ GSW,11/8/2017,L,48,101,38,92,41.3,5,24,20.8,20,27,74.1,9,32,41,21,14,15,0,14,-24
ORL vs. NYK,11/8/2017,W,48,112,43,80,53.8,13,28,46.4,13,22,59.1,6,23,29,31,13,16,7,15,13
IND @ DET,11/8/2017,L,48,97,38,88,43.2,7,24,29.2,14,18,77.8,7,31,38,22,15,8,3,24,-17
LAL @ BOS,11/8/2017,L,48,96,37,85,43.5,5,24,20.8,17,23,73.9,12,36,48,16,20,8,8,30,-11
NYK @ ORL,11/8/2017,L,48,99,42,80,52.5,5,12,41.7,10,13,76.9,12,30,42,26,23,7,2,21,-13
GSW vs. MIN,11/8/2017,W,48,125,48,85,56.5,15,36,41.7,14,18,77.8,3,42,45,37,19,10,9,23,24
BOS vs. LAL,11/8/2017,W,48,107,38,98,38.8,7,29,24.1,24,31,77.4,16,32,48,20,14,8,6,20,11
OKC @ DEN,11/9/2017,L,48,94,38,90,42.2,11,30,36.7,7,14,50,18,26,44,16,18,15,7,23,-8
LAL @ WAS,11/9/2017,L,48,95,31,86,36,3,23,13,30,41,73.2,17,29,46,17,19,9,4,19,-16
TOR vs. NOP,11/9/2017,W,48,122,45,98,45.9,16,42,38.1,16,23,69.6,10,38,48,27,12,8,4,24,4
NOP @ TOR,11/9/2017,L,48,118,44,82,53.7,13,31,41.9,17,25,68,4,34,38,31,14,7,4,20,-4
WAS vs. LAL,11/9/2017,W,48,111,43,83,51.8,7,21,33.3,18,20,90,7,38,45,20,22,7,4,31,16
SAC vs. PHI,11/9/2017,W,48,109,40,93,43,12,27,44.4,17,28,60.7,8,37,45,29,9,6,5,19,1
CLE @ HOU,11/9/2017,L,48,113,45,81,55.6,12,27,44.4,11,14,78.6,4,22,26,24,18,9,1,30,-4
PHI @ SAC,11/9/2017,L,48,108,37,87,42.5,15,37,40.5,19,27,70.4,13,43,56,23,17,6,5,28,-1
HOU vs. CLE,11/9/2017,W,48,117,36,77,46.8,16,46,34.8,29,36,80.6,17,28,45,21,22,11,5,27,4
DEN vs. OKC,11/9/2017,W,48,102,38,82,46.3,9,27,33.3,17,22,77.3,14,31,45,27,19,7,7,15,8
DET vs. ATL,11/10/2017,W,48,111,39,89,43.8,12,30,40,21,27,77.8,20,31,51,23,17,7,5,18,7
SAS vs. MIL,11/10/2017,L,48,87,34,80,42.5,9,29,31,10,11,90.9,9,34,43,23,18,8,6,15,-7
POR vs. BKN,11/10/2017,L,48,97,40,95,42.1,8,23,34.8,9,11,81.8,12,39,51,17,11,4,4,17,-4
ORL @ PHX,11/10/2017,W,48,128,43,82,52.4,13,28,46.4,29,43,67.4,7,37,44,29,18,8,5,20,16
